id,comment,reply,該当変更点情報
127,"・45 頁「（３）参加の促進」
（意見）
司法アクセスの改善についても記載すべきである。
（理由）
参加を促進するためには、オーフス条約の３つの柱である①環境情報へのアクセス、②意思決定への参加、③司法アクセスを充実させる必要がある。しかし、この項目では、①と②には触れているものの、③についての記載が全くない。司法アクセスが不可能であれば、情報アクセスや意思決定への参加の過程に瑕疵があったとしても、是正されないままとなってしまう。市民参加のために不可欠な要
素である司法アクセスについても記載すべきである。",ご意見を踏まえ、「政策決定過程への国民参画の『一層の推進』～」と修正いたします。なお、政策形成プロセスへの参加の仕組みづくりについては、個別の政策ごとに検討するものと考えています。,"該当変更点:
- 変更ID: 101
  理由: 「政策決定過程への国民参画の一層の推進」との記載が追加され、コメントの意見に関連している。"
128,"・46 頁 2 行目
（意見）
「～を含む。）が、」のあとに「ともに協力し合って、政策を形成し、互いの取組を」を追加する。
（理由）
施策の実施のためには、すべて決まった後からではなく、政策形成段階からの参加、協働が大切であるため。共進化するのは、取組であって、各主体ではない。",ご意見を踏まえ、「政策決定過程への国民参画の『一層の推進』～」と修正いたします。なお、政策形成プロセスへの参加の仕組みづくりについては、個別の政策ごとに検討するものと考えています。,"該当変更点:
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進に関する修正が関連している。"
129,"・46 頁 4 行目～6 行目
（意見）
「環境意識が高い国民は、政府の施策の推進（市場の失敗の是正を含む）を促すとともに」を「国民に、環境政策・計画等の意思決定への参加を促すとともに、」に修正する。
（理由）
環境意識が高い国民が、環境施策の議論に参加することもなく、政府が一方的に定めた環境施策を推進するというのは、あるべき参加の姿からも、もっと言えばあるべき環境問題への取組の姿からも、かけ離れている。「環境意識の高い」国民が政府の施策を黙々と推進することを期待するのではな
く、政府からみれば環境意識が低いとみえる国民であっても、政策・取組形成の議論に参加できるようにし、国民が参加することによって、国民の意識を高めるように努めるべきである",ご意見を踏まえ、「政策決定過程への国民参画の『一層の推進』～」と修正いたします。なお、政策形成プロセスへの参加の仕組みづくりについては、個別の政策ごとに検討するものと考えています。,"該当変更点:
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進に関する修正が含まれている。"
130,"46 頁
『』部分を追記していただきたい。
例えば、…政府の環境価値の内部化や環境教育、環境人材育成『、他の地球規模課題（自然災害、健康危機等）との統合的解決』に係る施策…は、国民の環境意識を高めることに寄与する。…その上で、自主的、積極的 な活動に加えて、協働型の事業の創出や、取り残されそうになっている人々を包摂する活動を通じて、全員参加型で環境負荷の低減や良好な環境の創出『、経済・社会課題との  同時解決』を推進していく必要がある。",第１部第２章３（２）において、ご指摘の趣旨は記載されていることから、原案のとおりとさせていただきます。,"該当変更点:
- 変更ID: 102
  理由: コメントの「全員参加型で環境負荷の低減や良好な環境の創出」に関連している。"
131,"P46  11 行目～  参加の促進
日本の気候政策策定にあたって、政策決定プロセスに市民が参加していないことが非常に問題である。とりわけエネルギー政策においては、エネルギー多消費産業の既存産業の既得権益を持つ関係者が多数参加する審議会や関連会合で決定され、ほぼ内容が固まった時点で形式的なパブリックコメントの募集があるというスタイルが常態化している。
本案では、「参加の促進」として、「国民の環境意識の向上に働きかける施策や行動、国民相互のコミュニケーションの充実、政策決定過程への国民参画とそのための政策コミュニケーション、 その成果の可視化が必要である。」などと示されているが、リオ宣言第 10 原則で謳われた、環境政策における人びとによる情報への アクセス、決定過程への参加、司法へのアクセスの権利に関する諸原則を、「環境政策における参加原則」として位置づけ促進すべきである。",ご意見は、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進が追加されている。"
132,"・46 頁 11 行目から 20 行目
（意見）
「あらゆる主体」には、例示されている将来世代、女性だけではなく、既に被害を受けている者、影響に対して脆弱な者、影響を受ける地域の住民や、障がい者等の社会的弱者も含まれることを明示する。
（理由）
大きな声を上げる者の声や政府が聞きたい声を聴くだけでは、課題を解決することはできない。あらゆる主体には、上記のようなものが含まれ、政府があらゆる主体が環境に配慮した社会づくりに参加できるようにすることが必要である。",ご指摘の趣旨は「あらゆる主体」に含まれると考えるため、原案のとおりとさせていただきます。,該当変更点: 該当なし
133,"●P46  11 行目～  参加の促進
日本の気候政策策定にあたって、政策決定プロセスに市民が参加していないことが非常に問題である。とりわけエネルギー政策においては、エネルギー多消費産業の既存産業の既得権益を持つ関係者が多数参加する審議会や関連会合で決定され、ほぼ内容が固まった時点で形式的なパブリックコメントの募集があるというスタイルが常態化している。
本案では「参加の促進」として、「国民の環境意識の向上に働きかける施策や行動、国民相互のコミュニケーションの充実、政策決定過程への国民参画とそのための政策コミュニケーション、  その成果の可視化が必要である。」とありますが、そもそも人手不足で働きすぎ、何かと忙し過ぎる生活が常態化して「自分の身近な生活だけいっぱい」という多くの日本国民にどうやってコミュニケーションの充実を図るのでしょうか？
国民ひとりひとりがもっと俯瞰することができる時間やコミュニケーションをとるための機会を創出できる具体案が必要ではないでしょうか。",ご意見は、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進に関連している。"
134,"・46 頁 22 行目
（意見）
「各主体が所有している情報に対し」の前に「各主体が環境情報を収集すること、」を追加する。
（理由）
環境情報を充実させるためには、各主体が現在所有している情報だけでは不十分であり、まずは環境情報自体の収集をすることが必要である。",ご意見を踏まえ、以下のとおり修正します。「各主体が必要な環境情報を収集するとともに、」を「各主体が所有している情報に対し、」の前に追記します。,"該当変更点:
- 変更ID: 102
  理由: 「各主体が必要な環境情報を収集するとともに、」が追加され、コメントの意見に対応しています。"
135,"p46  で「国全体で持続可能な社会を構築するためには、各々の地域が持続可能であることから、・・・「新たな成長」を実現していく。」として、「地域循環共生圏」構想のベースとなる「循環」と「共生」を論じ、地域の主体性を基本とし自立する地域の共生圏構想を描いて、大変美しい。誠にそうありたいと思える。
もとより、地域社会の今後のあるべき姿を魅力的に描いて指し示すことは大事なことである。しかし現下の疲弊した農山村地域の再生と新しい構築を考えるとき、まず基本となる問題は過度にまで進行しつつある東京一極集中と、その一つの結果ともいえる地方の人口減少(過疎化)と高齢化である。若い世代の人口を東京一極 /3 大都市圏に吸収されて、後期高齢者が多数を占める地方の農山村地域では、新しい産業を興す力を持ちえずに疲弊するばかりである。65 歳以上の高齢者が全住民の半数を超えて財政維持が困難となる「限界自治体」の数は増加の一途である。この問題を切り離しては地方の再生を語ることはできない。
この 2 つの課題はやはり当計画の直接の対象ではないかもしれないが、ここでこの課題へ切り込む
上での何がしかの展望をラフスケッチして示すことがなければ、「地域循環共生圏」構想は画餅を見る思いを禁じ得ない。",いただいたご意見は、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 48
  理由: 地域循環共生圏に関する取り組みの進展が示されているため。"
136,"・47 頁 37 行目
（意見）
「～役割を担う。」のあとに、「その際、環境問題に取り組む政策は、こうした各主体とともに参加型で策定し、実施していくことが重要である。」を追加する。
（理由）
参加型の政策形成、実施は、効果的な環境問題への取組に重要である。",ご意見は、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 4
  理由: 「全員参加型」のパートナーシップの下での政策形成に関連"
137,持続可能な社会の実現、循環型共生圏の構築等を推進していくために、国や大学、企業等の役割は当然重要ですが、それぞれの組織には多様な目的があり環境に関する事業だけを扱うわけにはいかないため、それを補完するために環境保全活動を専門に行う  NGO・NPO  などの市民団体が存在します。欧米では、こうした団体に国や企業が出資し支援することは常識となっています。よって、計画の記述の中に、「地球温暖化対策の推進に関する法律」に基づいて各県に設置されている「地球温暖化防止活動推進センター」の積極的活用や環境 NGO・NPO への経済的支援・協働の推進といった記述を入れていただきたいと思います。,環境 NGO・NPO への経済的支援については、地球環境基金などの活用が想定されることから、原案のとおりとさせていただきます。なお、協働の推進については第２部第１章「２  パートナーシップの充実・強化」に記述がございます。,"該当変更点:
- 変更ID: 107
  理由: NGO・NPOの役割強調、政府等へのインプットを追加
- 変更ID: 108
  理由: NGO・NPOの協働推進に関する記述追加"
138,"P49～  第 3 章 環境政策の原則・手法   １環境政策における原則等
本案では、環境政策における原則として「リスク評価と未然防止原則」「汚染者負担の原則」「環境効率性」が提示されているが、環境政策の原則として、「参加原則」を位置付けるべきである。また、リオ宣言第 10 原則に謳われた諸原則を、環境基本法に規定することが不可欠で、法改正を念頭に、議論をすべきである。",政策形成プロセスにおける参加の仕組みづくり等については、個別の政策ごとに検討していくことと考えております。,"該当変更点:
- 変更ID: 4
  理由: 「全員参加型」のパートナーシップが追加され、参加原則に関連。
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進が追加され、参加原則に関連。"
139,"・49 頁から 50 頁 環境政策における原則等
（意見）
未然防止原則、予防的な取組方法、汚染者負担の原則等、環境効率性に加えて、参加原則も追加する。
（理由）
リオ宣言第１０原則により参加原則が定められ、その後もオーフス条約、エスカス協定等によっても、環境分野において参加原則が重要であることは国際的にも確立している。なお、第三次環境基本計画（２７頁）では、オーフス条約についても言及しているが、本計画では、全く触れられていない。",政策形成プロセスにおける参加の仕組みづくり等については、個別の政策ごとに検討していくことと考えております。,該当変更点: 該当なし
140,"・ ４９頁 ３３行目
（意見）
「予防的な取組方法」の考えられ方が取り入れられている事例から「化学物質の対策」を削除し、改めて、化学物質の対策において、今後予防的な取組方法を取り入れていくことを明示すべきである。
（理由）
予防的な取組方法の考え方が化学物質の対策に、既に取り入れられている  と記載されているが、 PFAS の事例によく表れているように、実際の規制にあたっては、予防的な取組方法の考え方に基づいて行われているわけではない。しかし、国内での施策を予防的な取組方法に基づいて実施すべき必要性が高まっていることは同頁 38 行目記載のとおりであり、今後は化学物質の対策においても、予防的な取組方法を取り入れることが重要である",これまでも国内での化学物質対策に関する施策については予防的な取組方法の観点に立って進めていることから（例：第三次～第五次環境基本計画、SAICM  国内実施計画）、原案のままとさせていただきます。,該当変更点: 該当なし
141,"(1)p.11,p.36,p.49「予防的な取組方法」
「予防的な取組方法」「未然防止原則」という曖昧な表現でなく、明確に予防原則を取り入れるべきである。",現在の記載においても、ご指摘の考え方は包含されていると考えることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
142,"p49 (イ) 予防的な取組方法
「予防的な取組方法」の考え方をさらに進めて「予防原則」としてほしい。（建前でなく、EU のように、実行力のあるものとしてほしい）",現在の記載においても、ご指摘の考え方は包含されていると考えることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
143,"Ｐ49「予防的な取組方法」さらに進めて
「予防原則」としてほしい",現在の記載においても、ご指摘の考え方は包含されていると考えることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
144,p.49 予防的な取組方法をもう少し進めて、「予防原則」としては。,現在の記載においても、ご指摘の考え方は包含されていると考えることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
145,"【50 ページ汚染者負担の原則について】
環境汚染防止コストを価格を通じて市場に反映するとありますが、被害を受ける人への救済は不十分だと思います。例えば近隣住民の煙草で洗濯物が汚染されても被害者は泣き寝入りです。余計な選択にかかる費用は被害者持ちになってしまっています。マイクロカプセル洗剤や柔軟剤やシャンプーや入浴剤の被害についても同様に泣き寝入りが続いています。環境汚染をする商品について被害者が余りに大きい費用を負担している場合、商品に問題があるとして回収や販売停止にできるようにしていただきたいです。",ご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
146,"P51～  第 3 章 環境政策の原則・手法   2 環境政策の実施の手法
本案では、環境政策の実施の手法として、「直接規制的手法」「枠組規制的手法」「経済的手法」「事業的手法」が示されているが、これに加えて「参加的手法」を位置付けるべきである。近年、気候市民会議のような形で気候政策について、科学的な情報提供を行った上で市民が議論し、政策に反映させる方法などが欧州を中心に広がっている。「参加原則」に基づき、参加的手法を政策実施の手法の一つとして位置づけ、実行すべきである。",政策決定過程への国民参加については、パブリックコメントの実施や中央環境審議会における各種団体の代表者の委員の選定のほか、ユース団体等のヒアリング等を別途実施しているところです。ご意見については、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進が関連しているため。"
147,"第 3 章 環境政策の原則・手法      2 環境政策の実施の手法
(1) 前置き
環境基本計画を実現する為の手法として、１つ提言をしたく、お願い致します。基本計画を示しても確実に実現されなければ机上の空論に過ぎません。環境行政を少しでもより実現していくための方法として思うところがありましたので提言を致します。これが、環境基本計画の内容に沿うものかは分かりませんので、場違いでしたら捨てて下さい。「2 環境政策の実施の手法」の中で○事業的手法に近い物かと思いますが、別途設けるとしたら、人材的手法とでも言うのでしょうか？
(2) 背景
現在の地方自治体の職員には、ほとんど環境対策の専門家がおらず、行政の一つ一つに、環境や生態系に対する配慮を考慮していない案件が見受けられます。  しかし、役所職員の方々は事務職が中心であり、定期的な配置換えも起こりますので、専門知識が乏しいことは当然の事となります。それによって、無知識による、見過ごし、無策、間違い等、多々起こって来ます。
(3) 案
全国約１７００の地方自治体（市町村役所）に環境行政の専門職を１人常駐配置します。たった一人ですが、常駐する事で各部署からの相談、質問、チェックなど沢山の「補正」をする事が出来、多くの行政案件で環境配慮がレベルアップされて行くことになります。
(4) 効果
各自治体に一人ずつ配置出来たら、日本中で「補正」されていきます。たとえ一つ一つの案件や効果は小さくとも、日本中の沢山の案件に影響を及ぼすことが出来ます。今まで、プロジェクトに対するコンサルティング、専門家等の係わりは「点」でしか作用しませんでしたが、  各自治体に一人ずつ専門職を配置することで「面」で作用する事となります。濃い「点」よりも、薄い「面」の方が全体としては効果が大きいのでは無いでしょうか？
また、「面」の作用の１つとして、専門職員が一般職員に環境知識を教示することで、役所全体の環境知識が高まります。役所内での環境対策に係る調査、コンサルティング等の時間、費用を圧縮する事が出来、自治体全体として経費削減が期待出来ます。例えば、
・侵略的外来種の発生を気付けず、初動対応しなかった為に駆除費用が莫大になるケース。
・自然復活の為に川にコイを放したり、他地域のホタルを放したりする、善意の迷惑行為。
・環境に良い物として導入した結果が、反って手間が増えた分環境負荷が増えるケース。都道府県庁に配置してもこのような「面」の効果は得られません。
(5) 具体的に
日本中の１７００の地方自治体に環境行政専門職員を配備します。ただ、地方自治体に指示しただけでは実現はなかなかしませんので、中央（環境省）でシステムを整える必要が有ります。専門職員は、「環境行政士」という立場で市町村役場に配置します。さらに、中央でまとめる場として、「環境（地方）行政センター」なる組織を作り、専門職員へのサポートをします。
(5-1) 予算的なこと
・専門職員への給料補助として、例えば年間５００万円補助すると約８５億円になります。
・専門職員へのサポートの場として、中央（環境省）に環境（地方）行政センターの様な組織を作ります。
・給与補助金とセンター運営費で年間１００億円程度で実現出来るのではないかと考えています。
導入初期には参加自治体が少ない分、専門職員への補助金とセンター設立資金を充実させる事が出来ます。
(5-2) 専門職員のこと
・専門職員は、役所内の各部署の案件に助言と指導と評価をする。また、必要に応じて一般職員に教育をしていく。環境行政を一手に請け負うことは不可能なので、環境対策の「底上げ」を目標とする。
・専門職員は「環境行政士」等の肩書きを与え、役所内の１部署に納まらず首長直属など権限がある方が望ましい。役場内の業務は多岐に渡り、環境を配慮する案件も多部署に跨がるので、専門職員を一部署に専属させることはパフォーマンスを発揮出来なくなるので望ましくない。
・専門職員に一般職員の文書作りなど雑作業を押しつけられないような規約が必要と思われる。
・専門職員は役所内のみならず、住民への指導的コミュニケーションも携わること。ＮＰＯ、ボランティアに対する活動を見守り、相談を受け、間違いが有れば逐次指導する。
・専門職員は自治体地域内の環境の監視を行う。それにより、自然破壊、外来種問題、公害に素早く対処する事が可能になる。
・県や周辺自治体の専門職員同士での連絡を密に取り合う事で、素早い環境行政や、地域レベルでの環境行政を採る事が可能になってくる。
・専門職員を自治体が独自に採用する場合と、センターが募集して出向職員とするなど柔軟に対応する事が望ましい。
(5-3) センターのこと
・専門職員を教育、補助する場とし、研修とノウハウの提供など専門職のサポートをします。
・新規就任時の研修場所として機能する。
・専門職員が情報共有をする場所として機能し、各人の専門知識を発揮し、また各人を補いながら、全体が均一なパフォーマンスが出来る様に協力体制をとれるようサポートする。
・異常気象、公害、生物多様性と環境要因が多岐に渡り、一人で全てを網羅することは難しいので、その場合の相談先としてセンターに各専門家を配置して対応する。
・環境行政の効果を見える化する指標を作成し、専門職員の費用対効果を明らかにし、自己採点可能な様にし、評価を見える化する。自分がどれくらい仕事をしているか自己採点出来、モチベーションになったり、向き不向きを考えることが出来る。
・専門職員への評価をし、能力不足な職員に対しては再教育等の指導を行う。ある意味権力者となるので不正を行わないかも監視する。
(5-4) 中央（環境省）への効果
・全国偏重の無い環境情報が職員を通して入り、現状把握がし易くなる。施策の優先順位や緊急対策、未知の問題の発掘などに生かせる。都道府県を通すと遅延、フィルター、要約されたりと、情報の確度が下がるので直接入手出来る方が良い。
・国の方針を全国に素早く一律に反映させる事が出来る。
・専門職員が居ることで、環境行政を自治体自体が主体的に行動出来る様になり、「自立・分散型の国土構造の推進」を目指す為の有効な手段となり得る。",ご意見は、今後の施策の参考とさせていただきます。なお、地方公共団体の職員の研修等は、引き続き進めていく予定です。,該当変更点: 該当なし
148,"・52 頁 4 行目～9 行目
（意見）
環境分野における情報的手法の記載が限定的である。もっと様々な情報的手法があることを記載すべきである。
（理由）
環境保全活動に積極的な事業者がマーケティングのため事業活動や製品について環境負荷などに関する情報を開示することも情報的手法の一例である。しかし、市民参加のためには、情報アクセスがあることが前提である。まずは、政府や地方公共団体、事業者等は、環境情報を収集し、公開することによって、市民が環境情報を得られることを原則として明記すべきである。特に、事業等について許可制ではなく、届出制をとる場合には、届出の内容については、行政のみならず、市民も事後的に評価可能である必要性が高い。各主体が自らの環境負荷を把握し、各主体の意味ある参加するための手段として、情報的手法が位置付けられるべきである。",ご意見は、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 102
  理由: 環境情報の収集と公開の重要性に関連している。"
149,"54 頁（38 行～）
『』部分を追記していただきたい。
(4) 人々の暮らしについて、「ウェルビーイング／高い生活の質」が実感できるよう、『気候変動や生物多様性の喪失、』汚染『による健康へ』の危機等に対処し、
57 頁（1～5 行）
以下のように修文していただきたい。
科学的知見は環境政策の推進に不可欠であり、科学的知見の創出・集積や  基盤情報の整備を通じて、環境と他の社会課題との相互連関を含め、最新の科学的知見 の共有を推進する。同時に、国民が環境価値の高い製品やサービスを積極的 に選択できる等、環境や社会に配慮した行動が実践できるよう、専門的な情報や環境価値に関する適切な評価を分かりやすく情報提供する。","ご指摘を踏まえ、以下のとおり修正します。なお、後者の意見は、ご指摘の趣旨がわかりにくいことから、原案のとおりとさせていただきます。
「(4) 人々の暮らしについて、「ウェルビーイング／高い生活の質」が実感できるよう、気候変動や生物多様性の損失、汚染による環境への危機等に対処し、」","該当変更点:
- 変更ID: 104
  理由: コメントの追記要望に対応した修正が行われたため。"
150,"・ 54 頁 横断的に実施する重点戦略の設定と個別分野の重点的施策の展開
（意見）
環境基本法改正の検討を含める。
（理由）
環境基本法は制定から３０年を経過しており、同法が既に現在の国際的水準からしても、「時代遅れ」となっていることは明白である。第 6 次環境基本計画においても、37 頁 6 行目に「環境基本法第１条の規定を、現在の文脈において捉え直すと、（後略）」と記載されているとおり、環境基本法の目的からして、文字通りでは、狭すぎる設定となっている。第 6 次環境基本計画が目指す社会の姿を実現するためには、環境基本法を見直し、国民の参加や手続的権利の保障を図るべきである。",ご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
151,"P56  L25  ～P57  L14
生物多様性の現状の可視化には、地域の生物多様性について調査したり、情報を収集・管理できる人材が必要である。例えば、P56 における国の取組として地方公共団体において生物多様性の知識を有した人材の積極的な採用を促す等、人材確保についても記述すべき。","地方公共団体における人材の採用については、生物多様性に限らず地域の様々な実情に応じて各地方公共団体において検討されるものであり、原案のとおりとさせていた
だきます。",該当変更点: 該当なし
152,"・56 頁 29 行目から 30 行目
（意見）
「このため～重要であり、」を「環境問題に取り組む政策は、こうした各主体とともに参加型で策定し、実施していくこと、そして、関係省庁間で様々な分野で横断的に連携することが重要である。このため、」と修正する。
（理由）
効果的な環境問題への取組には、省庁連携とともに、関係する各主体が参加する政策形成、実施が重要であり、まさに国の姿勢、役割として求められるものである",ご意見は、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 4
  理由: 「全員参加型」のパートナーシップの下での政府、企業、国民の連携が追加されており、コメントの「参加型で策定し、実施していくこと」と関連している。"
153,"・57 頁 6 行目
（意見）
「～促進するため、」の後に「オーフス条約やエスカス協定等など国際的な水準の情報アクセス、意思決定への参加、司法アクセスを保障するための制度を整備し、市民社会・市民団体の機能の強化、役割の位置づけ、」を追加する。
（理由）
日本は市民参加を保障するリオ第１０宣言にも署名している。市民参加の権利を具体化するために条約や地域協定を策定するなど国際的な流れの中で、各国が市民参加の法制度を設けているが、日本では市民参加ができる場面は限られている。パブリックコメントに参加できるというだけでは、まっ たく不十分と言わざるをえない。
また、パートナーシップでの取組を進めるためには、重要なパートナーである、市民/市民団体の果たす役割を位置づけ、その強化を図ることが必須である。",ご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
154,"・57 頁 9 行目
（意見）
推進する。」のあとに、「また、政府職員等に対し、パートナーシップ、参加による政策、取組実施に習熟するための研修等を実施する。」を追加する。
（理由）
政府職員等が率先してパートナーシップでの取組に参画することができるよう、政府職員等自身が参加型の政策作り、事業実施についての認識を深め、協働での取組に習熟する必要がある。",ご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
155,"58 頁（19 行～）
「業界団体」の追加。
理由：事業者により組織される団体も、例示が必要と考えます。",業界団体は環境保全に関する活動を行う非営利的な民間団体でない場合もあることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
156,"・58 頁 22 行目
（意見）
形成する」を「形成し、また国、地方公共団体、事業者の取組に重要なインプットを与える」に修正する。
（理由）
行政、事業者の取組への提言は、民間団体が果たしている重要な役割である。",ご指摘のとおり修正いたします。,"該当変更点:
- 変更ID: 107
  理由: コメントの提案通りの修正が行われたため。"
157,"・58 頁 29 行目
（意見）
「自らの専門的能力を生かした提言を行うこと」を「その専門性を生かし、国、地方自治体、事業者に対し、多様性のある視点からインプットを提供し、こうした主体と協働して課題に取り組むこと」と修正する。
（理由）
民間団体には、今後さらなる政策提言と協働での取組推進が期待される。",ご意見を踏まえ、以下のとおり修正します。「自らの専門的能力を生かした提言を行うとともに、国、地方公共団体、事業者等と協働して課題に取り組むことなどが期待される。」,"該当変更点:
- 変更ID: 108
  理由: 政府の回答に基づき、民間団体の役割を修正した内容が含まれている。"
158,"59 頁
『』部分を追記していただきたい。
…国民は、自らを含む人々の生活・行動を、第一部で紹介した「ドーナツ内での生活」の範囲内（ソーシャル・バウンダリーを上回りつつ、プラネタリー・バウンダリーの範囲内）に収めることの重要性を認識し、人間と環境との関わり『、とりわけ気候変動や生物多様性と健康との関わり』についての理解を深めるとともに、…",ここの記載は、環境収容力に焦点を充てた記述であることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
159,"・59 頁 13 行目から 15 行目
（意見）
政策意思決定過程に国民の意見を反映させることが重要であるとの記載に賛成する。国民の参加を実現するための国及び地方公共団体の役割を記載すべきである。
（理由）
環境問題に取り組むにあたり、国民の意見を反映させることが重要であることは、リオ第  10 原則にも述べられているとおりである。国民が環境情報を得て、環境に関する意思決定に参加できるように、国や地方公共団体が制度を整備していくことが重要である。",当該箇所は、政策決定過程に国民の意見を反映させるための重要性を記述したもので、個別の役割を具体的に記述するものではないことから、原案のとおりとさせていただきます。ご意見は今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 4
  理由: 政府、地方公共団体、国民の役割に言及しているため。
- 変更ID: 101
  理由: 政策決定過程への国民参画の推進に関連しているため。"
160,"・59 頁 18 行目
（意見）
「この「学びあい」の過程においては、」の後に、「弱者保護の観点から現に環境影響を強く受けている被害者や、影響に対してぜい弱であると考えられる者」を追加する。
（理由）
環境問題の中には一部の者に対して、より大きな影響を及ぼすものがある。環境を配慮した社会とするためには、影響を実際に受けている者、あるいは受けやすいと考えられる主体の視点から社会づくりを考えることが重要である。",当該箇所は、包摂性の確保に関する一例を挙げたものであり、あらゆる主体の例を網羅的に記載するものではないことから、原案のとおりとさせていただきます。ご意見は今後の施策の参考とさせていただきます。,該当変更点: 該当なし
161,"P60
パートナーシップ構築のためには表彰だけでなく経済的なインセンティブも必要では。そのような取組があるのであれば、記載するべき。",環境基本計画では、経済的なインセンティブについて基本的な考え方を示しており、個別施策を具体的に記述するものではないことから、原案のとおりとさせていただきます。なお、ご意見は今後の施策の参考とさせていただきます。,該当変更点: 該当なし
162,"・60 頁 28 行目
（意見）
強化が求められる取組として以下を追加する。
「・国、地方自治体等のそれぞれの主体において、パートナーシップでの政策作り、事業実施ができるような人材の育成」
（理由）
パートナーシップ、協働型で動くことができる人材が政府にも他の組織にも不可欠である。",ご指摘の点については、環境人材の育成に含まれることから、原案のとおりとさせていただきます。ご意見は今後の施策の参考とさせていただきます。,該当変更点: 該当なし
163,"【57 ページ～58 ページ 事業者について】
事業者の環境負担の低減について取組を自主的・積極的に進めるべきとありますが、環境汚染をしている企業の善意の自主性に期待できません。深刻な環境汚染をしている場合に問題のある商品の規制や製造ラインのストップや汚染環境を改善するために必要な費用を負担させることが必要だと思います。企業の環境汚染への罰則を規定していただきたいです。",ご意見は今後の施策の参考とさせていただきます。,該当変更点: 該当なし
164,"P58  ８行目
金融機関や投資家は、事業者との対話を通じて環境負荷の低減につながる投資を促し、サステナブルファイナンス等を通じて取組を後押しすることで、持続可能な社会の構築に寄与する資金の流れを生み出すことが期待される。
↓
金融機関や投資家は、事業者の環境負荷の低減につながる投資を促し取組を後押しするなど、持続可能な社会の構築に寄与する資金の流れを生み出すサステナブルファイナンスの取り組みを推進することが期待される。
★理由
「サステナブルファイナンス」は、「事業者との対話」やそれ以外の様々な要素を含む概念であり、それらの様々な要素を全体として金融機関がすすめることが望ましいと思われます。",ご指摘について反映いたします。,"該当変更点:
- 変更ID: 106
  理由: コメントの提案を反映し、文章を修正している。"
165,"P６１  ２９行目
「市場における適切な評価を行う」→「評価を促す」
★理由
この文章は基本的に政府を主語としていると思いますが、評価を行うのは市場であると思われます。",ご指摘を踏まえ、「評価を促す」と修正します。,"該当変更点:
- 変更ID: 111
  理由: 「評価を促す」に修正されているため、コメントと回答に関連している。"
166,"P６２  ２４行目
ESG 投資など、機関投資家が企業の環境面への配慮を重要な投資判断の一つとして捉える動きが主流化している潮流を踏まえ、気候変動対策、循環経済、ネイチャーポジティブ等の実現に資する市場への投融資など、持続可能な社会の構築へと資金の流れをシフトする環境金融の拡大を図るとともに、
↓
機関投資家による ESG 投資の動きが主流化している潮流を踏まえ、気候変動対策、循環経済、ネイチャーポジティブ等の実現に資する投融資など、環境金融の拡大を図る。また、
★理由
ESG 投資は、投資判断だけでなく、投資後のエンゲージメントや議決権行使を含む概念であり、これらの包含された取り組みが全体として主流化しているため。また、投融資先は個々の企業であり市場ではないため。また「持続可能な社会の構築へと資金の流れをシフトする」は「環境金融」というより「サステナブルファイナンス」の定義であると思われるため。この部分の後ろにあるカーボンプライシング構想は ESG 投資の主流化とは関係が薄いと思われるため。","ご指摘を踏まえ、以下のとおり修正いたします。なお、「環境金融の拡大」に関するご指摘の箇所については、環境金融の拡大自体が持続可能な社会の構築につながるものであると考えるため、原案のままといたします。
「ESG 投資のように、機関投資家等が企業の環境面への配慮を重要な投資判断の一つとして捉える動き等が主流化している潮流を踏まえ、気候変動対策、循環経済、ネイチャーポジティブ等の実現に資する投融資など、持続可能な社会の構築へと資金の流れをシフトする環境金融の拡大を図る。また、「成長志向型カーボンプライシング構想」の実現・実行や税制全体のグリーン化等を推進していく。さらに、環境スタートアップなどによる先進的なものも含めたグリーンな製品・サービスに対する需要創出としての公共調達、DX  の活用等による環境関連情報の集約・開示、バリューチェーンでの環境負荷低減の評価を積極的に進めていく。」","該当変更点:
- 変更ID: 114
  理由: コメントに基づきESG投資の表現が修正されたため。"
